query_item_id,relevant_item_id,culture_canonical,ground_truth_criterion,ground_truth_version
CMA:102924,CMA:119676,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,CMA:119690,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,CMA:124741,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,CMA:137312,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:307677,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:307679,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:307682,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:307683,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:307851,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:307852,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:307853,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308034,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308035,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308036,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308037,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308039,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308040,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308042,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308044,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308046,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308048,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308053,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308056,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308057,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308058,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308060,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308068,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308070,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308072,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308076,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308077,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308078,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308098,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308100,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308101,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308105,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308106,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:308113,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:310511,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:316945,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:102924,MET:318460,Paracas,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,CMA:104236,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,CMA:104240,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,CMA:104241,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,CMA:104242,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,CMA:104243,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,CMA:104244,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,CMA:104245,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,CMA:104246,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,CMA:104247,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,CMA:104248,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,CMA:104249,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,CMA:108026,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,CMA:108033,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,CMA:108034,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,CMA:108044,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,CMA:119652,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,CMA:149062,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,CMA:302272,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,MET:307806,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,MET:307940,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,MET:307943,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,MET:308283,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,MET:308290,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,MET:310059,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,MET:310695,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,MET:310697,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,MET:310698,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,MET:310699,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,MET:312669,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104234,MET:313121,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104236,CMA:104234,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104236,CMA:104240,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104236,CMA:104241,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104236,CMA:104242,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104236,CMA:104243,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104236,CMA:104244,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104236,CMA:104245,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104236,CMA:104246,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104236,CMA:104247,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
CMA:104236,CMA:104248,Chancay,same_strict_canonical_culture,culture_ground_truth_strict_v1
